tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
0.75,base,0,mean,313,28.6134,0.4633,0.5783,0.545,0.5591,0.6869,0.7215,0.5591,0.4633,-0.09850000000000003
2.0,cam+pdc+piv,30,mean,313,22.2843,0.4665,0.5527,0.4381,0.5559,0.6805,0.5841,0.5559,0.4665,0.03410000000000002
1.5,cam+pdc+piv,30,snap,313,22.7348,0.4696,0.5655,0.4484,0.5559,0.6677,0.5979,0.5559,0.4696,0.013899999999999912
2.0,atr+cam+em+ext+pdc+piv+pw,30,mean,313,23.607,0.4601,0.5527,0.4667,0.5559,0.6709,0.622,0.5559,0.4601,-0.008600000000000052
1.5,cam+em+ext+ladder+pdc+piv+pw,30,snap,313,23.9617,0.4633,0.5304,0.4744,0.5559,0.6326,0.6316,0.5559,0.4633,-0.037350000000000105
2.0,atr+cam+em+ext+ladder+pdc+piv+pw,30,snap,313,24.1597,0.4696,0.5208,0.4779,0.5559,0.6294,0.6364,0.5559,0.4696,-0.04375000000000007
1.0,base,0,mean,313,27.0958,0.4601,0.5655,0.5158,0.5559,0.6837,0.6864,0.5559,0.4601,-0.0666000000000001
0.75,base,0,snap,313,28.6134,0.4569,0.5847,0.545,0.5559,0.6901,0.7214,0.5559,0.4569,-0.09840000000000004
2.0,cam+pdc+piv,30,snap,313,22.2812,0.4633,0.5719,0.438,0.5527,0.6773,0.5841,0.5527,0.4633,0.03090000000000004
1.5,cam+em+pdc+piv,30,snap,313,23.147,0.4665,0.5431,0.4575,0.5527,0.6518,0.6098,0.5527,0.4665,-0.007550000000000057
2.0,cam+em+ext+pdc+piv+pw,30,mean,313,23.3898,0.4601,0.5367,0.4624,0.5527,0.6645,0.6163,0.5527,0.4601,-0.007699999999999929
1.5,cam+em+pdc+piv+pw,30,snap,313,23.1565,0.4665,0.5399,0.4578,0.5527,0.6454,0.6102,0.5527,0.4665,-0.011149999999999993
2.0,cam+em+ext+pdc+piv+pw,30,snap,313,23.3866,0.4601,0.5527,0.4625,0.5527,0.6454,0.6164,0.5527,0.4601,-0.017349999999999977
